iter	Passed	Remaining
195	697	4638
196	700	4634
197	704	4630
198	707	4626
199	711	4622
200	714	4617
201	718	4613
202	721	4609
203	724	4605
204	728	4601
205	731	4597
206	735	4592
207	738	4588
208	742	4584
209	745	4580
210	749	4576
211	752	4572
212	755	4567
213	759	4563
214	762	4558
215	766	4554
216	769	4549
217	772	4545
218	776	4540
219	779	4536
220	782	4531
221	786	4527
222	790	4524
223	793	4519
224	796	4515
225	800	4511
226	803	4506
227	807	4502
228	810	4498
229	813	4494
230	817	4490
231	820	4485
232	824	4481
233	827	4477
234	830	4473
235	834	4468
236	837	4464
237	841	4460
238	844	4456
239	848	4452
240	851	4447
241	854	4443
242	858	4439
243	861	4435
244	865	4430
245	868	4426
246	871	4422
247	875	4418
248	878	4414
249	881	4409
250	885	4405
251	888	4401
252	892	4397
253	895	4392
254	898	4388
255	902	4384
256	905	4379
257	908	4375
258	912	4371
259	915	4367
260	919	4363
261	922	4359
262	925	4354
263	929	4350
264	932	4346
265	936	4342
266	939	4338
267	942	4333
268	946	4329
269	949	4325
270	952	4321
271	956	4317
272	959	4313
273	963	4309
274	966	4305
275	969	4301
276	973	4297
277	976	4293
278	980	4289
279	983	4285
280	986	4281
281	990	4277
282	993	4273
283	997	4269
284	1000	4265
285	1003	4261
286	1007	4257
287	1010	4253
288	1014	4249
289	1017	4245
290	1020	4241
291	1024	4237
292	1027	4233
293	1031	4229
294	1034	4225
295	1037	4221
296	1041	4217
297	1044	4213
298	1047	4209
299	1051	4205
300	1054	4201
301	1058	4197
302	1061	4193
303	1064	4189
304	1068	4186
305	1072	4183
306	1075	4180
307	1079	4177
308	1082	4174
309	1086	4171
310	1090	4168
311	1093	4164
312	1097	4161
313	1101	4158
314	1104	4155
315	1108	4152
316	1111	4149
317	1115	4146
318	1119	4143
319	1122	4140
320	1126	4136
321	1129	4133
322	1133	4130
323	1137	4127
324	1140	4124
325	1144	4121
326	1148	4118
327	1151	4115
328	1155	4111
329	1158	4108
330	1162	4105
331	1165	4101
332	1169	4098
333	1172	4094
334	1176	4090
335	1179	4086
336	1182	4082
337	1186	4078
338	1189	4074
339	1193	4070
340	1196	4066
341	1199	4062
342	1203	4058
343	1206	4054
344	1209	4050
345	1213	4046
346	1216	4042
347	1220	4039
348	1223	4035
349	1226	4031
350	1230	4027
351	1233	4023
352	1237	4019
353	1240	4015
354	1243	4011
355	1247	4007
356	1250	4003
357	1253	3999
358	1257	3995
359	1260	3991
360	1263	3987
361	1267	3984
362	1270	3980
363	1274	3976
364	1277	3972
365	1280	3968
366	1284	3964
367	1287	3960
368	1291	3957
369	1294	3953
370	1297	3949
371	1301	3945
372	1304	3941
373	1307	3937
374	1311	3934
375	1314	3930
376	1318	3926
377	1321	3922
378	1324	3918
379	1328	3914
380	1331	3911
381	1335	3907
382	1338	3903
383	1341	3899
384	1345	3895
385	1348	3892
386	1351	3888
387	1355	3884
388	1358	3880
389	1362	3876
390	1365	3873
391	1368	3869
392	1372	3865
393	1375	3861
394	1378	3857
395	1382	3853
396	1385	3849
397	1389	3846
398	1392	3842
399	1395	3838
400	1399	3834
401	1402	3831
402	1406	3827
403	1409	3823
404	1412	3819
405	1416	3815
406	1419	3812
407	1422	3808
408	1426	3804
409	1429	3800
410	1432	3796
411	1436	3792
412	1439	3789
413	1443	3785
414	1446	3781
415	1449	3777
416	1453	3773
417	1456	3770
418	1459	3766
419	1463	3762
420	1466	3758
421	1469	3755
422	1473	3751
423	1476	3747
424	1480	3743
425	1483	3739
426	1486	3736
427	1490	3732
428	1493	3728
429	1496	3724
430	1500	3721
431	1503	3717
432	1506	3713
433	1510	3709
