iter	AUC	Logloss
223	0.7979023457	0.5478422251
224	0.7980158329	0.5476931388
225	0.7980813384	0.5475848255
226	0.798151195	0.5474645604
227	0.7982639968	0.5473185865
228	0.7983450592	0.5472131366
229	0.7983930111	0.5471544981
230	0.7984313369	0.5470895101
231	0.7984730005	0.5470074659
232	0.7985500991	0.5468543956
233	0.7986186147	0.546751249
234	0.7986967266	0.546638267
235	0.7988045812	0.546515512
236	0.7988762259	0.5464183412
237	0.7989759147	0.546305048
238	0.7990732193	0.5462008432
239	0.7991338372	0.5461242769
240	0.7992430031	0.5460289737
241	0.7992994189	0.5459517849
242	0.7993938327	0.5458531825
243	0.7995236516	0.5457100097
244	0.7995980084	0.5456361202
245	0.7996706963	0.5455360238
246	0.799762547	0.5454507426
247	0.7998092771	0.5453414333
248	0.7999218702	0.54523561
249	0.8000138998	0.5451414273
250	0.8001027703	0.5450410196
251	0.80014956	0.5449820698
252	0.8002225757	0.5449041963
253	0.8003102541	0.5448141842
254	0.8004151583	0.5446948529
255	0.8005795479	0.5445313247
256	0.8007305861	0.5443983608
257	0.8008032441	0.544305423
258	0.800940156	0.5441502985
259	0.8010311127	0.5440495796
260	0.8010910749	0.5439830354
261	0.801133275	0.5439182342
262	0.801246345	0.5437735052
263	0.801355958	0.5436580956
264	0.8014556766	0.5435352783
265	0.8015513122	0.54337922
266	0.8016206026	0.5432833565
267	0.8016918302	0.5431716195
268	0.8017792702	0.5430590733
269	0.8018665314	0.5429681275
270	0.8019383848	0.5428726998
271	0.8020259738	0.542729776
272	0.8020897806	0.5426382077
273	0.8021751046	0.5425492539
274	0.8022920489	0.5424249426
275	0.8023716211	0.5423262779
276	0.8024477363	0.542229045
277	0.802514255	0.5421363562
278	0.8026183248	0.5420362598
279	0.8027011752	0.5419573281
280	0.8027822971	0.5418749726
281	0.8028660119	0.5417832176
282	0.8029571772	0.5416575368
283	0.8030359745	0.5415560087
284	0.8031047583	0.5414778862
285	0.803178817	0.5414036853
286	0.8032615185	0.5412959945
287	0.8033514023	0.5411500829
288	0.8034601808	0.5410127615
289	0.8035297394	0.5409371912
290	0.8036102057	0.5408283177
291	0.8036810756	0.5407349442
292	0.8037449718	0.5406438117
293	0.8038092852	0.5405643819
294	0.8038579226	0.5405125907
295	0.8039627075	0.5403830505
296	0.8040361404	0.5403093477
297	0.8041391969	0.5402055786
298	0.8041644692	0.5401373537
299	0.804248035	0.5400388758
300	0.8043141961	0.5399483034
301	0.8043839335	0.5398638315
302	0.8045036793	0.5397308676
